Human gene name,Gene name
SLC7A9,Slc7a9
PRPF3,Prpf3
AIFM3,Aifm3
EML6,Eml6
XKR9,Xkr9
GABRA3,Gabra3
FUT9,Fut9
SLC35F4,Slc35f4
HOXA6,Hoxa6
GTF3C2,Gtf3c2
TSGA13,Tsga13
NKD2,Nkd2
MTMR9,Mtmr9
KIF4A,Kif4
DCHS2,Dchs2
FAM193B,Fam193b
DYDC2,Dydc2
EPSTI1,Epsti1
ORM2,Orm3
ORM1,Orm3
LEPR,Lepr
GIGYF2,Gigyf2
NONO,Nono
CDS1,Cds1
DYDC1,Dydc1
KIAA0319L,AU040320
SLC39A14,Slc39a14
XKR6,Xkr6
HOMEZ,Homez
EEF1A1,Eef1a1
PDZD11,Pdzd11
ASB15,Asb15
B3GALNT2,B3galnt2
PPARG,Pparg
AC092442.1,Jakmip1
CSF3R,Csf3r
C4orf50,Gm1043
ASS1,Ass1
PPP1R9A,Ppp1r9a
PIK3R2,Pik3r2
AC007192.1,Pik3r2
TECTA,Tecta
TAF1B,Taf1b
VCL,Vcl
TPRN,Tprn
B3GALT4,B3galt4
TMED2,Tmed2
MAPK4,Mapk4
HSPA14,Hspa14
VANGL1,Vangl1
FAM210A,Fam210a
LGALSL,Lgalsl
MANEA,Manea
AC010618.1,Pgls
GKN3P,Gkn3
LDLRAD4,Ldlrad4
FAM216B,Fam216b
ACOT13,Acot13
PRDX1,Prdx1
AP3M1,Ap3m1
RBPMS2,Rbpms2
LMOD2,Lmod2
SKA1,Ska1
CYB5A,Cyb5a
PGF,Pgf
EXT1,Ext1
SLC9A3R2,Slc9a3r2
GABRQ,Gabrq
FAM129C,Fam129c
B3GNT7,B3gnt7
NDRG2,Ndrg2
CPT2,Cpt2
CD86,Cd86
UBE2G2,Ube2g2
SEPT2,Sept2
BUD31,Bud31
NT5DC3,Nt5dc3
N4BP2,N4bp2
NCAM1,Ncam1
L2HGDH,L2hgdh
MMRN1,Mmrn1
LAMTOR3,Lamtor3
SIPA1L3,Sipa1l3
NAP1L3,Nap1l3
TFRC,Tfrc
TMEM147,Tmem147
SYN3,Syn3
QARS,Qars
CXCL9,Cxcl9
LYPLA2,Lypla2
RDX,Rdx
PKM,Pkm
DUSP13,Dusp13
MOSPD1,Mospd1
DPP6,Dpp6
SLC25A24,Slc25a24
SLC7A14,Slc7a14
SNAPC3,Snapc3
THOC2,BC005561
ATP5MF-PTCD1,Ptcd1
PTCD1,Ptcd1
MRPS15,Mrps15
ST18,St18
AP4B1,Ap4b1
MED14,Med14
TMED9,Tmed9
BMP10,Bmp10
TIMP3,Timp3
POU2F3,Pou2f3
TPBG,Tpbg
HCAR2,Hcar2
HCAR3,Hcar2
AL136295.3,Dcaf11
DCAF11,Dcaf11
HSPB3,Hspb3
HCAR1,Hcar1
SLX4,Slx4
PCSK9,Pcsk9
ADCY2,Adcy2
MAT1A,Mat1a
RBM3,Rbm3
TMEM45A,Tmem45a
CXXC1,Cxxc1
GMPPA,Gmppa
SLC5A8,Slc5a8
SLCO5A1,Slco5a1
ERO1B,Ero1lb
CDC42EP5,Cdc42ep5
ZNF121,Zfp560
KCTD9,Kctd9
CLN8,Cln8
SAMD8,Samd8
RUVBL1,Ruvbl1
FBXL5,Fbxl5
CCSER1,Ccser1
RBM5,Rbm5
HIF1AN,Hif1an
KCNS2,Kcns2
BSND,Bsnd
LYRM2,Lyrm2
DAPK1,Dapk1
BCL2A1,Gm29094
GLP1R,Glp1r
DPF2,Dpf2
BCL2A1,Bcl2a1b
ASB2,Asb2
BANF1,Banf1
MASTL,Mastl
SYCP3,Gm20850
MTHFS,Mthfs
ST20-MTHFS,Mthfs
FSCB,Fscb
TOX,Tox
THBS4,Thbs4
NPW,Npw
EIF1AD,Eif1ad
PSIP1,Psip1
MAGED1,Maged1
KHK,Khk
RIIAD1,Riiad1
LILRA6,Lilra5
LILRA4,Lilra5
LILRB3,Lilra5
LILRA5,Lilra5
LILRB4,Lilra5
LILRB5,Lilra5
FAM126B,Fam126b
PAQR6,Paqr6
SLC36A4,Slc36a4
NFKBIB,Nfkbib
BCL2L15,Bcl2l15
CELF3,Celf3
GALC,Galc
NTN5,Ntn5
AC092647.5,Mrps17
MRPS17,Mrps17
VSNL1,Vsnl1
ABCG2,Abcg3
PLCXD3,Plcxd3
RSPH10B2,Rsph10b
RSPH10B,Rsph10b
CCDC138,Ccdc138
NUP155,Nup155
ZNF34,Zfp760
PEX5,Pex5
SIRT2,Sirt2
ITGB1BP2,Itgb1bp2
CDNF,Cdnf
WASL,Wasl
MOCS2,Mocs2
MED9,Med9
TNIP3,Tnip3
MRPL37,Mrpl37
CALU,Calu
BTBD9,Btbd9
CTPS1,Ctps
RASD1,Rasd1
EIF2B2,Eif2b2
SYNE1,Syne1
TBC1D14,Tbc1d14
PNKP,Pnkp
EBF2,Ebf2
TNFSF11,Tnfsf11
MRPS21,Mrps21
LHFPL6,Lhfp
C5orf52,4921536K21Rik
NFYA,Nfya
OAF,Oaf
FBXO15,Fbxo15
DLC1,Dlc1
TATDN2,Tatdn2
AC022384.1,Tatdn2
AGER,Ager
SFTPA1,Sftpa1
SFTPA2,Sftpa1
CT45A6,Gm648
CT45A3,Gm648
CT45A9,Gm648
CT45A1,Gm648
CT45A10,Gm648
CT45A5,Gm648
CT45A8,Gm648
SAGE1,Gm648
CT45A7,Gm648
CT45A2,Gm648
ABCA3,Abca3
TIMM21,Timm21
C14orf28,Gm527
FITM1,Fitm1
SSNA1,Ssna1
ATL3,Atl3
SLC26A4,Slc26a4
MTNR1B,Mtnr1b
GBP6,Gbp9
MOK,Mok
OPN1SW,Opn1sw
KRTCAP2,Krtcap2
MMACHC,Mmachc
NDNF,Ndnf
PRL,Prl7c1
ESX1,Esx1
GBP6,Gbp8
PHACTR2,Phactr2
BGLAP,Bglap3
RNF115,Rnf115
HECA,Heca
L1TD1,L1td1
ZNF598,Zfp598
TRIM46,Trim46
HNRNPD,Hnrnpd
PRSS12,Prss12
GHRL,Ghrl
TMEM140,Tmem140
DDAH1,Ddah1
KCNJ13,Kcnj13
GNE,Gne
C1orf54,BC028528
POLR3C,Polr3c
EDAR,Edar
B4GALT7,B4galt7
GBP6,Gbp4
SCGB3A1,Scgb3a1
PSMC2,Psmc2
BMPR1B,Bmpr1b
ARL15,Arl15
CIART,Ciart
SLC25A20,Slc25a20
CLDN19,Cldn19
NCR1,Ncr1
AC096887.1,Rft1
RFT1,Rft1
SRA1,Sra1
GLO1,Glo1
KCNMB2,Kcnmb2
AC117457.1,Kcnmb2
PRDM14,Prdm14
TMEM45A,Tmem45a2
BST1,Bst1
DUSP18,Dusp18
UBE3D,Ube2cbp
MAP3K15,Map3k15
RGP1,Rgp1
ANAPC2,Anapc2
ZNF34,Zfp820
MARCH9,March9
GPR65,Gpr65
RPS19,Rps19
CACNA1A,Cacna1a
SFXN1,Sfxn1
IRS4,Irs4
PDHA1,Pdha1
YME1L1,Yme1l1
DSC3,Dsc3
PLEKHG3,Plekhg3
VPS52,Vps52
CITED4,Cited4
TAB3,Tab3
HYAL4,Hyal4
SEC61A1,Sec61a1
C3orf70,2510009E07Rik
OTUB2,Otub2
SBSN,Sbsn
PNRC2,Pnrc2
KLF14,Klf14
TMX1,Tmx1
SPAM1,Spam1
SNX8,Snx8
SKI,Ski
CNTRL,Cntrl
SIDT2,Sidt2
IL1RAPL2,Il1rapl2
RHOF,Rhof
SLC35E4,Slc35e4
BCL10,Bcl10
ARHGAP25,Arhgap25
SYCP3,Gm21173
CREB3,Creb3
TEX13B,Tex13a
SART1,Sart1
RAD51AP2,Rad51ap2
HRH2,Hrh2
CCDC62,Ccdc62
GSPT2,Gspt2
TMEM120B,Tmem120b
SYCP3,Gm29554
PRDM5,Prdm5
GAPDHS,Gapdhs
COL26A1,Col26a1
ABRACL,Abracl
AC006486.1,Gsk3a
GSK3A,Gsk3a
SPTB,Sptb
SLC35A4,Slc35a4
CETN2,Cetn2
TLN1,Tln1
DENR,Denr
FAM107B,Fam107b
NIT2,Nit2
NCAPD3,Ncapd3
SLC1A7,Slc1a7
ZNF34,Zfp942
WDR91,Wdr91
FLT3,Flt3
TSPYL2,Tspyl2
BEAN1,Bean1
AC006064.6,Chd4
CHD4,Chd4
EHHADH,Ehhadh
BAZ2A,Baz2a
TESK2,Tesk2
KIAA0232,D5Ertd579e
NGF,Ngf
TOMM70,Tomm70a
BGLAP,Bglap2
MTX3,Mtx3
ZNF34,Zfp943
RPUSD1,Rpusd1
CDC42EP2,Cdc42ep2
MMGT1,Mmgt1
PNPLA7,Pnpla7
RNMT,Rnmt
PITPNB,Pitpnb
ZMAT3,Zmat3
SNAPC2,Snapc2
NBEAL1,Nbeal1
OXR1,Oxr1
IL17B,Il17b
HDAC11,Hdac11
SAV1,Sav1
ORM2,Orm2
ORM1,Orm2
CA11,Car11
PRRC2A,Prrc2a
DDX24,Ddx24
TMEM214,Tmem214
TOE1,Toe1
CLDN12,Cldn12
CTXN1,Ctxn1
PELI1,Peli1
INSR,Insr
PRDM15,Prdm15
FBLIM1,Fblim1
CDKL1,Cdkl1
IMPG1,Impg1
HSDL2,Hsdl2
ANKRD6,Ankrd6
FP565260.4,Dnmt3l
DNMT3L,Dnmt3l
C8orf48,AI429214
ATL1,Atl1
HMGN4,Hmgn2
HMGN2,Hmgn2
GNRH1,Gnrh1
GPR173,Gpr173
PLET1,Plet1
DHCR24,Dhcr24
TKT,Tkt
CD79A,Cd79a
TCP11L1,Tcp11l1
KANK4,Kank4
TPMT,Tpmt
SLC17A5,Slc17a5
CMYA5,Cmya5
RNF113A,Rnf113a2
SMARCC1,Smarcc1
ALDH6A1,Aldh6a1
SFTPD,Sftpd
GCM2,Gcm2
PCDH12,Pcdh12
GBA2,Gba2
SPIN4,Spin4
MN1,Mn1
CAMLG,Caml
MAP4K5,Map4k5
REL,Rel
CPLX2,Cplx2
PRL,Prl2a1
CHIC2,Chic2
CSTF3,Cstf3
NDUFB3,Ndufb3
NOD1,Nod1
SEMA3B,Sema3b
PLD1,Pld1
SLC39A9,Slc39a9
FAM160B1,Fam160b1
PRL,Prl2c1
MBD1,Mbd1
CAPG,Capg
KBTBD12,Kbtbd12
DAPK2,Dapk2
AKNA,Akna
FAM135A,Fam135a
GRID1,Grid1
AIRE,Aire
CNR2,Cnr2
ERH,Erh
WRAP73,Wrap73
CD200R1L,Cd200r1
CD200R1,Cd200r1
STAB2,Stab2
CNN1,Cnn1
KDM1B,Kdm1b
AKAP11,Akap11
FBXO4,Fbxo4
TSPAN2,Tspan2
TRDN,Trdn
NETO1,Neto1
SYNGR3,Syngr3
ANKRD24,Ankrd24
PCYOX1L,Pcyox1l
FUT7,Fut7
MSMP,Msmp
GDF10,Gdf10
PEMT,Pemt
MTCH2,Mtch2
TPRG1L,Tprgl
DAO,Dao
DDX55,Ddx55
SEC13,Sec13
DNAJC21,Dnajc21
CNOT6,Cnot6
DEK,Dek
KCNQ4,Kcnq4
TBC1D25,Tbc1d25
GRPEL2,Grpel2
CCL21,Gm13304
MTCP1,Mtcp1
MGLL,Mgll
MEF2D,Mef2d
TSHB,Tshb
CLSTN3,Clstn3
RHOH,Rhoh
FLACC1,Als2cr12
CGREF1,Cgref1
GDF2,Gdf2
SLC26A5,Slc26a5
KIAA1958,E130308A19Rik
KRTAP8-1,Krtap8-1
MSLNL,Mslnl
KRTAP7-1,Krtap7-1
GRHL1,Grhl1
NIPSNAP1,Nipsnap1
ZC3H12C,Zc3h12c
IGFLR1,Igflr1
GBP6,Gbp6
SIPA1L1,Sipa1l1
NFATC1,Nfatc1
IL10RA,Il10ra
RBBP4,Rbbp4
TDP2,Tdp2
PLAAT3,Pla2g16
LAMB1,Lamb1
PINX1,Pinx1
BGLAP,Bglap
C11orf87,AI593442
GP6,Gp6
AFAP1L1,Afap1l1
C2orf78,Gm5114
RPL8,Rpl8
NSUN2,Nsun2
PMF1,Pmf1
RAB19,Rab19
AD000671.1,Psenen
PSENEN,Psenen
SHROOM2,Shroom2
PRL,Prl4a1
ATP5F1C,Atp5c1
ZNF850,Zfp619
SYNC,Sync
NUP107,Nup107
TRIP13,Trip13
NCL,Ncl
ACAT2,Acat2
TMED3,Tmed3
ERF,Erf
U2AF1L4,U2af1l4
KLHL28,Klhl28
CAPZB,Capzb
ZNF839,Zfp839
GFPT2,Gfpt2
NSDHL,Nsdhl
ANKRD34C,Ankrd34c
RAP1GAP,Rap1gap
C1RL,C1rl
GUCY2F,Gucy2f
PREB,Preb
STRC,Strc
IL11RA,Gm13305
AL162231.3,Gm13305
SYCP3,1700013H16Rik
DHX30,Dhx30
ZC3H7A,Zc3h7a
GLDC,Gldc
ZMAT1,Zmat1
KRTAP11-1,Krtap11-1
FAM162B,Fam162b
SOX7,Sox7
PITHD1,Pithd1
STKLD1,Stkld1
C1orf52,2410004B18Rik
FLNA,Flna
KRCC1,Krcc1
RPLP1,Rplp1
MAP3K13,Map3k13
PRKAR2A,Prkar2a
TMEM56,Tmem56
NMUR1,Nmur1
CKMT1B,Ckmt1
CKMT1A,Ckmt1
SMYD1,Smyd1
GPR143,Gpr143
INPP4A,Inpp4a
CCL27,Gm13306
KCND2,Kcnd2
FAM149A,Fam149a
CYB5RL,Cyb5rl
AL357673.1,Cyb5rl
REEP6,Reep6
TNC,Tnc
ITK,Itk
ZDHHC5,Zdhhc5
ABHD1,Abhd1
SRD5A1,Srd5a1
SYCP3,Gm20929
DCLK1,Dclk1
KRAS,Kras
FRMD6,Frmd6
AC119396.1,A430078G23Rik
SGCZ,Sgcz
SPRY1,Spry1
GRID2,Grid2
NHLRC3,Nhlrc3
ZNF250,Zfp647
IFT22,Ift22
SYDE2,Syde2
TSPAN12,Tspan12
C8orf74,4930578I06Rik
TMX2-CTNND1,Tmx2
SIT1,Sit1
C1R,C1ra
MC5R,Mc5r
GSX2,Gsx2
ZNF213,Zfp213
ANK2,Ank2
DPM3,Dpm3
RNPS1,Rnps1
PLEKHH2,Plekhh2
APEX1,Apex1
BCAP29,Bcap29
TBCEL,Tbcel
AP000646.1,Tbcel
MC2R,Mc2r
GDPD2,Gdpd2
TFR2,Tfr2
GTF3C5,Gtf3c5
KCNK10,Kcnk10
KLF11,Klf11
CADM1,Cadm1
MGARP,Mgarp
PRDX6,Prdx6b
IER2,Ier2
COL13A1,Col13a1
MYO5A,Myo5a
EYA1,Eya1
SYCP3,Gm21650
STK3,Stk3
STAC3,Stac3
DSC2,Dsc2
CEL,Cel
VAV3,Vav3
FAM129A,Fam129a
UTRN,Utrn
PAX2,Pax2
CD160,Cd160
PIWIL2,Piwil2
CTNND1,Gm28635
MED19,Med19
GFER,Gfer
WDR63,Wdr63
BTBD18,Btbd18
PTPRK,Ptprk
SCP2,Scp2
REXO4,Rexo4
TUSC3,Tusc3
GJA5,Gja5
TRAP1,Trap1
DGKI,Dgki
RDH13,Rdh13
TRUB1,Trub1
ZFAND4,Zfand4
CTNND1,Ctnnd1
MBL2,Mbl2
PDZK1,Pdzk1
SAMD12,Samd12
RAB11FIP5,Rab11fip5
CRMP1,Crmp1
USP51,Usp51
NACC1,Nacc1
MAGEH1,Mageh1
CYP20A1,Cyp20a1
SYCP3,Xlr
C8orf33,1110038F14Rik
SLC25A48,Slc25a48
CHDH,Chdh
SVOP,Svop
CHRNA9,Chrna9
TRMT1,Trmt1
BBS5,Bbs5
NOTO,Noto
DKK1,Dkk1
DYNC2LI1,Dync2li1
NDUFA4L2,Ndufa4l2
DNASE1,Dnase1
SLC29A3,Slc29a3
EPS8L1,Eps8l1
SHMT2,Shmt2
TIMM44,Timm44
ALG14,Alg14
ZBTB7C,Zbtb7c
FAM49A,Fam49a
PRKCZ,Prkcz
CACNA1D,Cacna1d
NUP153,Nup153
TMPRSS13,Tmprss13
PDLIM5,Pdlim5
USP30,Usp30
AC008736.1,Tdrd12
MB,Mb
GJA8,Gja8
PTPRF,Ptprf
THOC3,Thoc3
IRX3,Irx3
GPR89A,Gpr89
GPR89B,Gpr89
ABCG4,Abcg4
DSCAML1,Dscaml1
RBBP8,Rbbp8
EVC,Evc
RP1L1,Rp1l1
APOL6,Apol6
ALKBH2,Alkbh2
TMEM161A,Tmem161a
CEP97,Cep97
TCN2,Tcn2
RALGPS1,Ralgps1
ZNF185,Zfp185
GCC2,Gcc2
PIK3CA,Pik3ca
PON1,Pon1
CXCL10,Cxcl10
WTAP,Wtap
OR2B11,Olfr222
CDK1,Cdk1
CDCP2,Cdcp2
MCOLN3,Mcoln3
DUS4L,Dus4l
JAM3,Jam3
STRA8,Stra8
PODN,Podn
IL9,Il9
CXCL11,Cxcl11
RBP3,Rbp3
CATSPER2,Catsper2
PROSER1,Proser1
ZNF488,Zfp488
ART3,Art3
PRL,Prl5a1
CA8,Car8
SELENBP1,Selenbp2
TCEAL3,Tceal6
TCEAL6,Tceal6
TCEAL5,Tceal6
AC008878.3,Arhgef18
ARHGEF18,Arhgef18
ELOF1,Elof1
CINP,Cinp
TFEB,Tfeb
RUNX2,Runx2
PDIA3,Pdia3
RSPO3,Rspo3
C1QTNF4,C1qtnf4
TMEM59,Tmem59
SLC50A1,Slc50a1
CNN3,Cnn3
CSTF2T,Cstf2t
MKRN1,Mkrn1
NOXO1,Noxo1
PRKG1,Prkg1
SLC25A44,Slc25a44
DDX46,Ddx46
DDX10,Ddx10
CCDC136,Ccdc136
GBP6,Gbp11
CCDC107,Ccdc107
ANXA8L1,Anxa8
ANXA8,Anxa8
AIF1,Aif1
FMR1,Fmr1
TBC1D23,Tbc1d23
SPHK2,Sphk2
ZNF205,Zfp13
MOSPD3,Mospd3
ABCG5,Abcg5
TRIM29,Trim29
TBL3,Tbl3
PNMA5,Pnma5
PSD,Psd
CD14,Cd14
KIN,Kin
PNMA3,Pnma3
ZBTB8OS,Zbtb8os
AF196969.1,Ebp
EBP,Ebp
ACTR10,Actr10
ANGPTL2,Angptl2
DBP,Dbp
RALYL,Ralyl
APBB2,Apbb2
ABAT,Abat
EXPH5,Exph5
SH3RF3,Sh3rf3
BLOC1S4,Bloc1s4
TCEANC2,Tceanc2
TLR3,Tlr3
HBP1,Hbp1
PRSS55,Prss55
ABCG8,Abcg8
PTMA,Ptma
ACP5,Acp5
RPL18,Rpl18
SYCP3,Gm29564
USP1,Usp1
TSACC,Tsacc
CD47,Cd47
ELMOD3,Elmod3
HTR1B,Htr1b
IGSF9B,Igsf9b
MUS81,Mus81
RRAGD,Rragd
RHBG,Rhbg
ZBTB8A,Zbtb8a
FIS1,Fis1
NLRP12,Nlrp12
CUX2,Cux2
SUPT3H,Supt3
ARHGEF7,Arhgef7
TMEM210,Tmem210
GFI1B,Gfi1b
AKR1E2,Akr1e1
DNAJC10,Dnajc10
NFKB2,Nfkb2
AC093323.1,Mrfap1
MRFAP1L1,Mrfap1
MRFAP1,Mrfap1
C5orf24,B230219D22Rik
ATXN3L,Atxn3
OARD1,Oard1
VPS37B,Vps37b
KBTBD4,Kbtbd4
NDUFA2,Ndufa2
LRRC8B,Lrrc8b
ADAMTSL5,Adamtsl5
TMCO6,Tmco6
SETDB1,Setdb1
SYCP3,Gm16405
NDUFS3,Ndufs3
HIP1R,Hip1r
UNC45A,Unc45a
NCOA4,Ncoa4
REPS1,Reps1
APOBEC2,Apobec2
DENND2A,Dennd2a
NXT2,Nxt2
SYCP3,Gm16430
CA14,Car14
DPF3,Dpf3
CIC,Cic
GTPBP10,Gtpbp10
C6orf89,BC004004
NEIL3,Neil3
EFEMP2,Efemp2
IRX5,Irx5
ATOH1,Atoh1
FUBP3,Fubp3
SYCP3,Slxl1
APH1A,Aph1a
SLC9A6,Slc9a6
IRX6,Irx6
RAI1,Rai1
FAM71B,Fam71b
PON3,Pon3
KIAA1191,4833439L19Rik
TNFRSF11B,Tnfrsf11b
NDUFC1,Ndufc1
LST1,Lst1
SYMPK,Sympk
WHRN,Whrn
COLEC10,Colec10
ZBED3,Zbed3
NFYC,Nfyc
SREBF1,Srebf1
PDE6D,Pde6d
PTOV1,Ptov1
EDEM3,Edem3
CLVS2,Clvs2
PTS,Pts
PIGY,Pigyl
RAB2A,Rab2a
MCOLN2,Mcoln2
FBXL7,Fbxl7
TTC22,Ttc22
VSTM2B,Vstm2b
CATSPERG,Catsperg2
RICTOR,Rictor
PCBP4,Pcbp4
NUDT19,Nudt19
GPR22,Gpr22
ARHGEF10,Arhgef10
IK,Ik
KRTAP4-5,Krtap10-4
KRTAP10-11,Krtap10-4
KRTAP10-4,Krtap10-4
KRTAP9-1,Krtap10-4
KRTAP10-9,Krtap10-4
KRTAP10-6,Krtap10-4
SOX4,Sox4
ADAM9,Adam9
ALX1,Alx1
KRTAP4-5,Gm10100
KRTAP10-11,Gm10100
KRTAP10-4,Gm10100
KRTAP10-9,Gm10100
KRTAP10-6,Gm10100
CBLN2,Cbln2
COG5,Cog5
SIMC1,Simc1
MED7,Med7
KRTAP4-5,Gm7138
KRTAP10-11,Gm7138
KRTAP10-4,Gm7138
KRTAP9-1,Gm7138
KRTAP10-9,Gm7138
KRTAP10-6,Gm7138
KRTAP4-5,Gm7137
KRTAP10-11,Gm7137
KRTAP10-4,Gm7137
KRTAP9-1,Gm7137
KRTAP10-9,Gm7137
KRTAP10-6,Gm7137
SEPT10,Sept10
HLA-DMA,H2-DMa
KRTAP4-5,Gm19668
KRTAP10-11,Gm19668
KRTAP10-4,Gm19668
KRTAP9-1,Gm19668
KRTAP10-9,Gm19668
KRTAP10-6,Gm19668
KRTAP4-5,Gm3233
KRTAP10-11,Gm3233
KRTAP10-4,Gm3233
KRTAP9-1,Gm3233
KRTAP10-9,Gm3233
KRTAP10-6,Gm3233
USP45,Usp45
KRTAP4-5,Gm3238
KRTAP10-11,Gm3238
KRTAP10-4,Gm3238
KRTAP9-1,Gm3238
KRTAP10-9,Gm3238
KRTAP10-6,Gm3238
RNF14,Rnf14
MAPK9,Mapk9
KRTAP4-5,Gm10142
KRTAP10-11,Gm10142
KRTAP10-4,Gm10142
KRTAP10-9,Gm10142
KRTAP10-6,Gm10142
MMP2,Mmp2
PARS2,Pars2
BRD2,Brd2
KRTAP4-5,Gm19402
KRTAP10-11,Gm19402
KRTAP10-4,Gm19402
KRTAP9-1,Gm19402
KRTAP10-9,Gm19402
KRTAP10-6,Gm19402
CERS2,Cers2
LTB,Ltb
ZNF426,Zfp426
FAM237B,Gm8773
ARPP21,Arpp21
KRTAP4-5,Gm10318
KRTAP10-11,Gm10318
KRTAP10-4,Gm10318
KRTAP9-1,Gm10318
KRTAP10-9,Gm10318
KRTAP10-6,Gm10318
IFI27L2,Ifi27
KRTAP4-5,Krtap10-10
KRTAP10-11,Krtap10-10
KRTAP10-4,Krtap10-10
KRTAP9-1,Krtap10-10
KRTAP10-9,Krtap10-10
KRTAP10-6,Krtap10-10
TSPEAR,Tspear
LY75-CD302,Ly75
LY75,Ly75
PON2,Pon2
EFNA1,Efna1
MAL2,Mal2
ZNF627,Zfp872
NMNAT3,Nmnat3
TEX12,Tex12
ATRNL1,Atrnl1
C6,C6
SLC25A42,Slc25a42
LRRC26,Lrrc26
TBC1D10C,Tbc1d10c
TXNDC15,Txndc15
KBTBD8,Kbtbd8
BCO2,Bco2
OCIAD1,Ociad1
BBS9,Bbs9
LPCAT2,Lpcat2
GRIN1,Grin1
KRTAP4-5,Gm3250
KRTAP10-11,Gm3250
KRTAP10-4,Gm3250
KRTAP9-1,Gm3250
KRTAP10-9,Gm3250
KRTAP10-6,Gm3250
NAA15,Naa15
KRTAP4-5,Gm9507
KRTAP10-11,Gm9507
KRTAP10-4,Gm9507
KRTAP9-1,Gm9507
KRTAP10-9,Gm9507
KRTAP10-6,Gm9507
CD8B2,Cd8b1
CD8B,Cd8b1
SERINC4,Serinc4
PCBD2,Pcbd2
EFNA3,Efna3
AL691442.1,Efna3
IL18,Il18
KRTAP4-5,Krtap12-1
KRTAP10-11,Krtap12-1
KRTAP10-4,Krtap12-1
KRTAP10-9,Krtap12-1
KRTAP10-6,Krtap12-1
CCZ1B,Ccz1
CCZ1,Ccz1
KRTAP4-5,Gm10024
KRTAP10-11,Gm10024
KRTAP10-4,Gm10024
KRTAP10-9,Gm10024
KRTAP10-6,Gm10024
KRTAP4-5,Gm10272
KRTAP10-11,Gm10272
KRTAP10-4,Gm10272
KRTAP10-9,Gm10272
KRTAP10-6,Gm10272
THOC5,Thoc5
KCNMB3,Kcnmb3
CYP26B1,Cyp26b1
PEX14,Pex14
MLH3,Mlh3
TSPO2,Tspo2
CD109,Cd109
ECI1,Eci1
ASB4,Asb4
LPAR3,Lpar3
TFAM,Tfam
GNA14,Gna14
RGS9BP,Rgs9bp
AL033529.1,Zbtb8b
ZBTB8B,Zbtb8b
TK2,Tk2
FRZB,Frzb
CCNC,Ccnc
HYPK,Hypk
SEC11C,Sec11c
CAPNS2,Capns2
HYI,Hyi
GFRA1,Gfra1
MYCN,Mycn
LIMK1,Limk1
CLDN10,Cldn10
EFNA4,Efna4
CHD7,Chd7
SERF2,Serf2
FXYD6,Fxyd6
SPATS1,Spats1
SEMA4G,Sema4g
WDR55,Wdr55
ADAM15,Adam15
GAPDH,Gapdh
CARNS1,Carns1
MAD2L1,Mad2l1
SZT2,Szt2
AP000944.2,Pola2
POLA2,Pola2
TNS3,Tns3
SMYD5,Smyd5
DND1,Dnd1
METTL21C,Mettl21c
DSC1,Dsc1
GABRD,Gabrd
ANXA9,Anxa9
CCDC168,Gm8251
ELL3,Ell3
CDC5L,Cdc5l
RAB33B,Rab33b
PTPN22,Ptpn22
FBXO2,Fbxo2
VN1R5,Vmn1r32
IFFO1,Iffo1
MSC,Msc
SOWAHC,Sowahc
VN1R5,Vmn1r33
PAPOLG,Papolg
GPR62,Gpr62
COPS7B,Cops7b
LECT2,Lect2
C1orf21,1700025G04Rik
PDK4,Pdk4
DOCK5,Dock5
VN1R5,Vmn1r34
ABI2,Abi2
RBM47,Rbm47
CYTIP,Cytip
LRRIQ1,Lrriq1
CBS,Cbs
CBSL,Cbs
FBXL2,Fbxl2
DCAF4L2,Dcaf4
DCAF4,Dcaf4
CDK4,Cdk4
UNC5B,Unc5b
MYCT1,Myct1
HAVCR2,Havcr2
PRAMEF5,B020004J07Rik
PRAMEF15,B020004J07Rik
PRAMEF12,B020004J07Rik
PRAMEF20,B020004J07Rik
PRAMEF19,B020004J07Rik
PRAMEF11,B020004J07Rik
PRAMEF8,B020004J07Rik
PRAMEF13,B020004J07Rik
PRAMEF2,B020004J07Rik
PRAMEF33,B020004J07Rik
PRAMEF1,B020004J07Rik
PRAMEF10,B020004J07Rik
PRAMEF4,B020004J07Rik
PRAMEF17,B020004J07Rik
PRAMEF7,B020004J07Rik
PRAMEF27,B020004J07Rik
PRAMEF26,B020004J07Rik
PRAMEF14,B020004J07Rik
PRAMEF9,B020004J07Rik
PRAMEF25,B020004J07Rik
PRAMEF6,B020004J07Rik
PRAMEF18,B020004J07Rik
PRADC1,Pradc1
VPS54,Vps54
RSPH6A,Rsph6a
VN1R5,Vmn1r35
CNOT4,Cnot4
MSR1,Msr1
RSL1D1,Rsl1d1
ACSL6,Acsl6
AC034228.4,Acsl6
PRAMEF5,C130073F10Rik
PRAMEF15,C130073F10Rik
PRAMEF12,C130073F10Rik
PRAMEF20,C130073F10Rik
PRAMEF19,C130073F10Rik
PRAMEF11,C130073F10Rik
PRAMEF8,C130073F10Rik
PRAMEF13,C130073F10Rik
PRAMEF2,C130073F10Rik
PRAMEF33,C130073F10Rik
PRAMEF1,C130073F10Rik
PRAMEF10,C130073F10Rik
PRAMEF4,C130073F10Rik
PRAMEF17,C130073F10Rik
PRAMEF7,C130073F10Rik
PRAMEF27,C130073F10Rik
PRAMEF26,C130073F10Rik
PRAMEF14,C130073F10Rik
PRAMEF9,C130073F10Rik
